age	educ	income	fips_state	black	other	hisp	female	married	republican	democrat	unemployed	incomedk	partyvote	uerate	totalspend_voter_inf
24.0	2	3	39	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.055	1.5178543
48.0	1	1	39	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	3.0	0.055	1.5178543
27.0	3	3	40	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.036	1.5357928
53.0	3	3	40	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.036	1.5357928
34.0	2	4	17	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.06	1.37532
66.0	2	4	17	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.06	1.37532
47.0	2	2	17	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.06	1.37532
25.0	2	1	45	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.055	1.3443639
56.0	1	1	45	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.055	1.3443639
29.0	3	3	45	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.055	1.3443639
31.0	4	2	45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.055	1.3443639
34.0	4	4	12	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.068	2.1497788
81.0	2	2	48	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.048	2.9205236
22.0	4	1	27	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.04	2.3343043
62.0	2	2	27	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.04	2.3343043
30.0	2	2	25	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.062	1.0958376
31.0	2	3	25	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	0.062	1.0958376
48.0	1	1	12	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.068	2.1497788
45.0	2	4	12	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.068	2.1497788
59.0	4	1	12	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	3.0	0.068	2.1497788
73.0	1	1	47	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.059	5.1448936
57.0	1	3	47	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.059	5.1448936
22.0	2	3	47	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.059	5.1448936
21.0	3	1	42	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.069	1.2139608
63.0	2	4	42	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	0.069	1.2139608
71.0	3	2	48	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.048	2.9205236
29.0	2	1	40	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.036	1.5357928
93.0	3	1	25	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.062	1.0958376
75.0	3	2	39	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.055	1.5178543
34.0	2	4	9	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.053000003	1.812191
